Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1991,14.4,21.2,8.3,460.52,5.1,77.0,26.0,15.0,17.0,0.0,1.0
1992,14.4,20.8,8.6,470.39,5.1,93.0,19.0,9.0,2.0,0.0,1.0
1993,13.4,19.6,7.6,710.97,5.4,98.0,38.0,12.0,10.0,1.0,0.0
1994,14.4,21.1,8.0,595.38,5.1,66.0,28.0,4.0,9.0,0.0,0.0
1995,15.0,22.2,8.4,189.99,4.4,41.0,20.0,8.0,12.0,0.0,0.0
1996,14.0,20.5,7.6,184.16,5.0,68.0,23.0,14.0,13.0,0.0,0.0
1997,15.630769230769232,21.98846153846154,8.792307692307693,456.8088888888889,8.126923076923077,91.74074074074075,24.814814814814813,13.925925925925926,24.22222222222222,0.07407407407407407,0.48148148148148145
1998,15.630769230769232,21.98846153846154,8.792307692307693,456.8088888888889,8.126923076923077,91.74074074074075,24.814814814814813,13.925925925925926,24.22222222222222,0.07407407407407407,0.48148148148148145
1999,15.7,22.4,8.9,524.21,7.6,98.0,15.0,13.0,18.0,0.0,0.0
2000,16.0,22.5,9.1,456.8088888888889,8.0,84.0,19.0,11.0,25.0,0.0,2.0
2001,16.3,22.7,9.2,456.8088888888889,8.2,80.0,20.0,12.0,23.0,1.0,0.0
2002,15.630769230769232,21.98846153846154,8.792307692307693,456.8088888888889,8.126923076923077,92.0,35.0,13.0,28.0,0.0,0.0
2003,15.6,21.7,8.9,564.92,7.8,109.0,22.0,13.0,19.0,0.0,1.0
2004,16.6,22.8,9.6,410.74,7.7,104.0,17.0,7.0,34.0,0.0,0.0
2005,15.630769230769232,21.98846153846154,8.792307692307693,456.8088888888889,8.126923076923077,91.74074074074075,24.814814814814813,13.925925925925926,24.22222222222222,0.07407407407407407,0.48148148148148145
2006,16.4,22.6,9.0,456.8088888888889,9.1,93.0,29.0,21.0,44.0,0.0,0.0
2007,16.2,22.6,8.5,456.8088888888889,9.0,86.0,17.0,16.0,37.0,0.0,0.0
2008,15.9,22.3,8.4,456.8088888888889,8.8,75.0,34.0,7.0,45.0,0.0,3.0
2009,16.1,22.3,8.7,456.8088888888889,9.0,119.0,12.0,22.0,31.0,0.0,1.0
2010,16.8,23.3,9.4,456.8088888888889,9.0,109.0,13.0,27.0,27.0,0.0,0.0
2011,15.8,21.8,8.6,456.8088888888889,9.5,105.0,41.0,16.0,50.0,0.0,0.0
2012,15.0,21.4,7.9,456.8088888888889,9.4,86.0,40.0,23.0,28.0,0.0,2.0
2013,16.3,22.6,9.1,456.8088888888889,9.6,90.0,29.0,17.0,22.0,0.0,0.0
2014,14.9,21.2,7.8,456.8088888888889,9.5,96.0,30.0,13.0,34.0,0.0,2.0
2015,16.3,22.3,9.6,456.8088888888889,9.9,119.0,23.0,19.0,14.0,0.0,0.0
2016,16.8,23.3,9.9,456.8088888888889,9.9,102.0,24.0,11.0,6.0,0.0,0.0
2017,16.0,22.3,9.0,456.8088888888889,9.9,92.0,27.0,14.0,31.0,0.0,0.0
2018,16.0,22.4,9.3,456.8088888888889,9.7,92.0,16.0,9.0,30.0,0.0,0.0
2019,16.6,22.5,10.0,456.8088888888889,9.8,111.0,16.0,12.0,19.0,0.0,0.0
2020,15.5,21.3,9.2,456.8088888888889,9.8,92.0,37.0,18.0,26.0,0.0,0.0
2021,15.630769230769232,21.98846153846154,8.792307692307693,456.8088888888889,8.126923076923077,91.74074074074075,24.814814814814813,13.925925925925926,24.22222222222222,0.07407407407407407,0.48148148148148145
